	bin	Depth CAPES_S11	Depth CAPES_S21	Depth CAPES_S7	GenomeBin	Domain	%Complete (domain)	%Complete and single-copy (domain)	%Complete and duplicated (domain)	%Fragmented (domain)	%Missing (domain)	Total number (domain)	Specific lineage dataset	%Complete (specific)	%Complete and single-copy (specific)	%Complete and duplicated (specific)	%Fragmented (specific)	%Missing (specific)	Total number (specific)	Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp	# predicted rRNA genes	user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
10	MEGAHIT-CAPES_S7.19.fa	4.034079999999999	112.2145	121.5415	MEGAHIT-CAPES_S7.19.fa	bacteria_odb10	4.8	4.8	0.0	0.0	95.2	124.0								MEGAHIT-CAPES_S7.19.fa	6	6	6	6	6	3	386985	386985	386985	386985	386985	256091	6	136132	386985	43.87	67722	48297	2	4	0.0	0 + 0 part	MEGAHIT-CAPES_S7.19.fa																			
11	MEGAHIT-CAPES_S7.2.fa	1.06108	0.0	40.3515	MEGAHIT-CAPES_S7.2.fa		0.0	0.0	0.0	0.0	100.0									MEGAHIT-CAPES_S7.2.fa	1	1	1	1	1	1	241860	241860	241860	241860	241860	241860	1	241860	241860	48.41	241860	241860	1	1	0.0	0 + 0 part	MEGAHIT-CAPES_S7.2.fa																			
12	MEGAHIT-CAPES_S7.20.fa	0.0	0.0	11.6468	MEGAHIT-CAPES_S7.20.fa	bacteria_odb10	30.6	26.6	4.0	6.5	62.9	124.0								MEGAHIT-CAPES_S7.20.fa	1053	1053	270	42	1	0	4385117	4385117	2129650	569469	25536	0	1053	25536	4385117	53.0	4877	3102	283	565	0.0	4 + 0 part	MEGAHIT-CAPES_S7.20.fa																			
13	MEGAHIT-CAPES_S7.21.fa	31.97795	86.8018	74.71255	MEGAHIT-CAPES_S7.21.fa	bacteria_odb10	9.7	9.7	0.0	0.8	89.5	124.0								MEGAHIT-CAPES_S7.21.fa	4	4	4	4	3	3	389071	389071	389071	389071	377630	377630	4	158157	389071	47.85	125710	93763	2	3	0.0	0 + 0 part	MEGAHIT-CAPES_S7.21.fa																			
14	MEGAHIT-CAPES_S7.22.fa	15.1391	0.622099	35.7616	MEGAHIT-CAPES_S7.22.fa	bacteria_odb10	9.7	9.7	0.0	1.6	88.7	124.0								MEGAHIT-CAPES_S7.22.fa	15	15	15	10	6	3	468207	468207	468207	433421	363847	263549	15	130510	468207	44.58	60913	29077	3	6	0.0	0 + 0 part	MEGAHIT-CAPES_S7.22.fa																			
15	MEGAHIT-CAPES_S7.23.fa	0.0	0.0	8.651295	MEGAHIT-CAPES_S7.23.fa	bacteria_odb10	6.5	6.5	0.0	1.6	91.9	124.0								MEGAHIT-CAPES_S7.23.fa	450	450	22	2	0	0	1139974	1139974	151918	24693	0	0	450	14062	1139974	58.1	2513	1912	152	283	0.0	0 + 0 part	MEGAHIT-CAPES_S7.23.fa																			
16	MEGAHIT-CAPES_S7.24.fa	15.8046	0.4058405000000001	34.6467	MEGAHIT-CAPES_S7.24.fa	bacteria_odb10	14.5	13.7	0.8	0.8	84.7	124.0								MEGAHIT-CAPES_S7.24.fa	26	26	26	23	15	2	691711	691711	691711	668154	531198	126310	26	76208	691711	44.28	31249	25506	9	15	0.0	0 + 0 part	MEGAHIT-CAPES_S7.24.fa																			
17	MEGAHIT-CAPES_S7.25.fa	3.4463449999999995	93.184	119.7205	MEGAHIT-CAPES_S7.25.fa	bacteria_odb10	4.0	4.0	0.0	0.0	96.0	124.0								MEGAHIT-CAPES_S7.25.fa	4	4	4	4	3	2	319063	319063	319063	319063	303066	270635	4	189464	319063	43.64	189464	81171	1	2	0.0	0 + 0 part	MEGAHIT-CAPES_S7.25.fa																			
18	MEGAHIT-CAPES_S7.26.fa	45.1233	3.98874	103.09	MEGAHIT-CAPES_S7.26.fa	bacteria_odb10	4.8	4.8	0.0	1.6	93.6	124.0								MEGAHIT-CAPES_S7.26.fa	35	35	25	15	2	0	318376	318376	283814	210603	57108	0	35	30823	318376	52.3	10505	7914	11	19	0.0	0 + 0 part	MEGAHIT-CAPES_S7.26.fa																			
19	MEGAHIT-CAPES_S7.27.fa	3.946265	121.37700000000001	124.4245	MEGAHIT-CAPES_S7.27.fa	bacteria_odb10	4.8	4.8	0.0	0.0	95.2	124.0								MEGAHIT-CAPES_S7.27.fa	6	6	6	5	4	1	235857	235857	235857	230691	206617	91870	6	91870	235857	45.07	48312	39598	2	3	0.0	0 + 0 part	MEGAHIT-CAPES_S7.27.fa																			
20	MEGAHIT-CAPES_S7.28.fa	16.64115	0.8362335000000001	33.73875	MEGAHIT-CAPES_S7.28.fa	bacteria_odb10	1.6	1.6	0.0	0.0	98.4	124.0								MEGAHIT-CAPES_S7.28.fa	10	10	9	7	5	2	243586	243586	240089	225347	200631	113776	10	63734	243586	43.04	36489	25132	3	5	0.0	0 + 0 part	MEGAHIT-CAPES_S7.28.fa																			
21	MEGAHIT-CAPES_S7.29.fa	4.28209	124.156	123.143	MEGAHIT-CAPES_S7.29.fa	bacteria_odb10	3.2	3.2	0.0	1.6	95.2	124.0								MEGAHIT-CAPES_S7.29.fa	4	4	4	4	4	2	213293	213293	213293	213293	213293	139589	4	86175	213293	43.87	53414	40890	2	3	0.0	0 + 0 part	MEGAHIT-CAPES_S7.29.fa																			
22	MEGAHIT-CAPES_S7.3.fa	12.4781	177.271	56.3046	MEGAHIT-CAPES_S7.3.fa	bacteria_odb10	6.5	6.5	0.0	0.8	92.7	124.0								MEGAHIT-CAPES_S7.3.fa	3	3	3	3	3	1	258183	258183	258183	258183	258183	185179	3	185179	258183	60.21	185179	42856	1	2	0.0	0 + 0 part	MEGAHIT-CAPES_S7.3.fa																			
23	MEGAHIT-CAPES_S7.30.fa	17.00345	0.1504675	35.86035	MEGAHIT-CAPES_S7.30.fa	bacteria_odb10	3.2	3.2	0.0	0.0	96.8	124.0								MEGAHIT-CAPES_S7.30.fa	16	16	15	13	7	2	423939	423939	419853	403042	309543	131112	16	76967	423939	44.31	43822	19936	4	8	0.0	0 + 0 part	MEGAHIT-CAPES_S7.30.fa																			
24	MEGAHIT-CAPES_S7.31.fa	46.32865	3.84427	101.53399999999999	MEGAHIT-CAPES_S7.31.fa	bacteria_odb10	14.5	14.5	0.0	0.8	84.7	124.0								MEGAHIT-CAPES_S7.31.fa	82	82	51	28	8	3	933774	933774	829720	660764	362635	193445	82	69649	933774	50.75	16521	8955	14	33	0.0	0 + 0 part	MEGAHIT-CAPES_S7.31.fa																			
25	MEGAHIT-CAPES_S7.32.fa	3.821525	116.2525	128.2275	MEGAHIT-CAPES_S7.32.fa	bacteria_odb10	5.6	5.6	0.0	1.6	92.8	124.0								MEGAHIT-CAPES_S7.32.fa	4	4	4	4	4	3	357723	357723	357723	357723	357723	313253	4	121564	357723	44.87	118693	72996	2	3	0.0	0 + 0 part	MEGAHIT-CAPES_S7.32.fa																			
26	MEGAHIT-CAPES_S7.33.fa	4.2289400000000015	127.15	128.917	MEGAHIT-CAPES_S7.33.fa	bacteria_odb10	5.6	5.6	0.0	0.0	94.4	124.0	mycoplasmatales_odb10	4.6	4.6	0.0	1.1	94.3	174.0	MEGAHIT-CAPES_S7.33.fa	9	9	9	8	7	2	439542	439542	439542	434191	414655	223073	9	156649	439542	43.32	66424	39353	2	5	0.0	0 + 0 part	MEGAHIT-CAPES_S7.33.fa																			
27	MEGAHIT-CAPES_S7.34.fa	12.8963	167.28099999999995	60.9096	MEGAHIT-CAPES_S7.34.fa	bacteria_odb10	22.6	22.6	0.0	0.8	76.6	124.0								MEGAHIT-CAPES_S7.34.fa	5	5	5	5	5	4	491064	491064	491064	491064	491064	455837	5	151073	491064	60.52	139980	102005	2	3	0.0	0 + 0 part	MEGAHIT-CAPES_S7.34.fa																			
28	MEGAHIT-CAPES_S7.35.fa	15.148	0.301125	33.0953	MEGAHIT-CAPES_S7.35.fa	archaea_odb10	1.5	1.5	0.0	0.0	98.5	194.0								MEGAHIT-CAPES_S7.35.fa	9	9	9	9	5	1	268351	268351	268351	268351	211598	65677	9	65677	268351	42.83	34764	33558	3	5	0.0	0 + 0 part	MEGAHIT-CAPES_S7.35.fa																			
